"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","EDUTRY","25_34","PC_AGE","A","2020",14.853134,
"OAVG","EDUTRY","25_34","PC_AGE","A","2017",43.171617,
"OAVG","EDUTRY","25_34","PC_AGE","A","2018",43.996352,
"OAVG","EDUTRY","25_34","PC_AGE","A","2019",44.761941,
"OAVG","EDUTRY","25_34","PC_AGE","A","2020",45.513483,
"LVA","EDUTRY","25_34","PC_AGE","A","2017",41.608852,
"LVA","EDUTRY","25_34","PC_AGE","A","2018",41.648941,
"LVA","EDUTRY","25_34","PC_AGE","A","2019",43.811146,
"LVA","EDUTRY","25_34","PC_AGE","A","2020",44.246166,
"COL","EDUTRY","25_34","PC_AGE","A","2017",28.106581,
"COL","EDUTRY","25_34","PC_AGE","A","2018",28.959703,
"COL","EDUTRY","25_34","PC_AGE","A","2019",29.873518,
"COL","EDUTRY","25_34","PC_AGE","A","2020",29.993586,
"LTU","EDUTRY","25_34","PC_AGE","A","2017",55.625957,
"LTU","EDUTRY","25_34","PC_AGE","A","2018",55.581402,
"LTU","EDUTRY","25_34","PC_AGE","A","2019",55.187374,
"LTU","EDUTRY","25_34","PC_AGE","A","2020",56.18409,
"CRI","EDUTRY","25_34","PC_AGE","A","2017",28.004108,
"CRI","EDUTRY","25_34","PC_AGE","A","2018",27.815552,
"CRI","EDUTRY","25_34","PC_AGE","A","2019",31.346508,
"CRI","EDUTRY","25_34","PC_AGE","A","2020",32.465542,
"G20","EDUTRY","25_34","PC_AGE","A","2018",39.987938,
"G20","EDUTRY","25_34","PC_AGE","A","2019",39.335909,
